keyword,product_id,product_name,category,price,rating_product,shop_id,shop_name,count_review,count_sold,wishlist_count,shop_rating_score,positive_percentage,total_reviews_rate_5,total_reviews_rate_4,total_reviews_rate_3,total_reviews_rate_2,total_reviews_rate_1,estimated_revenue,hhi_market_concentration,competition_level,log_price,log_wishlist_count,price_relative_to_median,positive_eWOM_ratio,log_sold_count,keyword_encoded
baju batik,103381793137,NEW AMPERA BURGUNDY Kemeja batik pria lengan panjang katun prima premium lapis furing hero ready seragaman by arfabatik67 Atasan Baju Batik,Fashion,88500,4.9,11492492,arfabatik67,139,1370,3,4.8,98.0,130,7,1,1,0,121245000,430.36948545978794,Unconcentrated,11.390769130367211,1.3862943611198906,1.0,0.9856115107913669,7.223295679562314,7.254126046648589
baju batik,102225263769,"ANGSANA HITAM - Kemeja Batik Pria Lengan PANJANG Slimfit Full Furing Premium (Bahan Adem, Halus Lembut) - BISA COD",Fashion,79900,4.7,7495010836519947013,Batik Baron,1224,11208,36,4.7,94.0,1001,151,35,11,26,895519200,430.36948545978794,Unconcentrated,11.288543647320601,3.6109179126442243,0.9028248587570622,0.9411764705882353,9.324472306021095,7.254126046648589
baju batik,102714874018,PHONIEX HITAM Kemeja batik pria lengan panjang dan lengan pendek katun pria premium lapis furing hero ready seragaman by arfabatik67,Fashion,88500,4.9,11492492,arfabatik67,254,1465,6,4.8,97.0,228,20,3,2,1,129652500,430.36948545978794,Unconcentrated,11.390769130367211,1.9459101490553132,1.0,0.9763779527559056,7.290292882446597,7.254126046648589
baju batik,103297334757,Atasan Batik Pria Modern Lengan Panjang Premium Slimfit Style Baju Batik Pria Katun Asli Ori 100% Kualitas Terbaik Garansi 100%,Fashion,55400,5.0,7494927018702113164,Batik Monalisa,14,24,0,5.0,100.0,14,0,0,0,0,1329600,430.36948545978794,Unconcentrated,10.922352923113982,0.0,0.6259887005649718,1.0,3.2188758248682006,7.254126046648589
baju batik,100525846454,GUNUNGAN BURGUNDY Kemeja batik katun pria  tangan  panjang dan  tangan pendek lapis furing hero by arfabatik67 Atasan Baju,Fashion,88500,4.9,11492492,arfabatik67,1819,11699,6,4.8,97.0,1633,139,23,9,15,1035361500,430.36948545978794,Unconcentrated,11.390769130367211,1.9459101490553132,1.0,0.9741616272677295,9.367344120785848,7.254126046648589
baju batik,100835650785,Batik Sanarakarta Kemeja Pria Slimfit Lapis Furing Premium SNR00103,Fashion,79500,4.8,7496112139311548983,BATIKSANARAKARTA,734,6565,18,4.9,96.0,619,89,17,2,7,521917500,430.36948545978794,Unconcentrated,11.283524879179666,2.9444389791664403,0.8983050847457628,0.9645776566757494,8.789660098061537,7.254126046648589
baju batik,103497060785,BATIK NAWILIS Kemeja Katun Pria SlimFit Lapis Tricot Premium Motif PRAWIRA,Fashion,224999,4.8,7496078227112233405,Batik Nawilis Solo,2424,17707,13,4.9,97.0,2160,196,31,13,24,3984057293,430.36948545978794,Unconcentrated,12.323855681186558,2.6390573296152584,2.542361581920904,0.971947194719472,9.781771793852032,7.254126046648589
baju batik,103297301248,"Kemeja Batik Pria Lengan Pendek Modern Slimfit Bahan Katun Asli 100% Motif Bunga Best Seller Distro Cowok Batik Pekalongan Kualitas Terbaik - Hitam, Baju",Fashion,43100,4.7,7494927018702113164,Batik Monalisa,42,440,2,5.0,88.0,36,1,2,3,0,18964000,430.36948545978794,Unconcentrated,10.67130147767883,1.0986122886681098,0.48700564971751414,0.8809523809523809,6.089044875446846,7.254126046648589
baju batik,102175956616,Kemeja Baju Batik Pria Cowok Slimfit Premium Motif KRESNA HITAM Full Furing Baju Lengan Panjang Kantor Nyaman Katun Kondangan batik  pria Formal Casual,Fashion,46611,4.8,7494929993556068907,batik solo modis,588,4425,13,4.9,96.0,495,74,15,2,2,206253675,430.36948545978794,Unconcentrated,10.749613297693154,2.6390573296152584,0.5266779661016949,0.967687074829932,8.395251520610994,7.254126046648589
baju batik,103665595232,LUIGI RICCIO Kemeja Batik Pria Regular Simple Elegan Light Grey Series New Arrival Casual Kerja Kantor Sampai 7XL,Fashion,169600,4.8,7494083611818165804,Postillo,151,1467,2,4.7,97.0,134,13,1,2,1,248803200,430.36948545978794,Unconcentrated,12.041203898548972,1.0986122886681098,1.9163841807909605,0.9735099337748344,7.291656209174461,7.254126046648589
